objectid,trail_name,surface_cat,use_cat,segment_length_miles,trail_width
39845,25,Native/Dirt,Hiking/Walking,0.312332115032711,18
39846,25,Native/Dirt,Hiking/Walking,0.0334551595333084,18
39847,25,Native/Dirt,Hiking/Walking,0.436905418069531,18
39855,410,Native/Dirt,Hiking/Walking,0.561168322213344,18
39859,Knothead Valley,Native/Dirt,Hiking/Walking,0.109775687709663,18
39860,BP Path,Paved,Hiking/Walking,0.0138804204593325,18
39862,25,Native/Dirt,Hiking/Walking,0.187574067814581,18
39863,25,Native/Dirt,Hiking/Walking,0.177549253782293,18
39866,25,Native/Dirt,Hiking/Walking,1.37466976210791,18
39868,25,Native/Dirt,Hiking/Walking,1.12198691684216,18
39889,101,Native/Dirt,Hiking/Walking,0.238832424342402,18
39890,101,Native/Dirt,Hiking/Walking,0.557566277394705,18
39891,25,Native/Dirt,Hiking/Walking,0.421496214249543,18
39892,101,Native/Dirt,Hiking/Walking,0.331243463030786,18
39893,25,Native/Dirt,Hiking/Walking,0.0869565355632296,18
39894,25,Native/Dirt,Hiking/Walking,0.0908735870195575,18
39900,600,Native/Dirt,Hiking/Walking,0.296935106851086,18
39901,403,Native/Dirt,Hiking/Walking,0.430697796914965,18
39902,403,Native/Dirt,Hiking/Walking,0.108119578901977,18
40063,Social Trail,Other,Hiking/Walking,0.61454337428438,18
40065,Social Trail,Other,Hiking/Walking,0.530000487501067,18
40067,Social Trail,Other,Hiking/Walking,0.210787539189303,18
40071,Social Trail,Other,Hiking/Walking,0.584590385035267,18
40072,Social Trail,Other,Hiking/Walking,0.305606359152212,18
40074,Social Trail,Other,Hiking/Walking,0.22632701313558,18
40075,Social Trail,Other,Hiking/Walking,0.254877518983691,18
40400,SR125 Bike Path,Paved,Biking,0.389480880106274,5
40417,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0166026063024035,3
40421,Whitetail Trail,Native/Dirt,Hiking/Walking,0.00938351453357425,3
40423,Whitetail Trail,Native/Dirt,Hiking/Walking,0.0206831038514731,3
